Date,Close,Volume,Open,High,Low
9/18/2023,443.63,55752210,443.05,444.97,442.56
9/15/2023,443.37,111848900,447.14,447.48,442.92
9/14/2023,450.36,83430810,449.07,451.08,447.715
9/13/2023,446.51,60199270,446.22,447.71,445.0793
9/12/2023,445.99,67565420,446.95,448.53,445.39
9/11/2023,448.45,60180120,448.24,448.77,446.4699
9/8/2023,445.52,62068440,444.9,447.11,444.53
9/7/2023,444.85,70355430,443.11,445.55,442.75
9/6/2023,446.22,70758510,448.4,448.51,443.81
9/5/2023,449.24,55166210,450.73,451.06,449.17
9/1/2023,451.19,58944100,453.17,453.67,449.68
8/31/2023,450.35,66084560,451.65,452.83,450.16
8/30/2023,451.01,69053910,449.51,451.67,448.78
8/29/2023,449.16,83081920,442.65,449.45,442.46
8/28/2023,442.76,61595390,442.24,443.4,439.9728
8/25/2023,439.97,102325100,438.68,441.3,435
8/24/2023,436.89,88517270,444.69,445.22,436.855
8/23/2023,443.03,68441020,439.25,443.67,439.1
8/22/2023,438.15,65062860,441.18,441.18,437.57
8/21/2023,439.34,68718960,437.55,440.11,435.32
8/18/2023,436.5,98851960,433.37,437.57,433.01
8/17/2023,436.29,95711320,441.16,441.43,435.75
8/16/2023,439.64,80107210,442.46,444.18,439.53
8/15/2023,442.89,75707530,446.27,446.64,442.3
8/14/2023,448.11,47867440,444.7,448.11,444.38
8/11/2023,445.65,68690900,443.97,446.7007,443.345
8/10/2023,445.91,93005500,448.19,451.7,444.7
8/9/2023,445.75,78789580,449.03,449.1999,444.96
8/8/2023,448.75,71361320,448.08,450.6952,445.2705
8/7/2023,450.71,58357460,448.71,450.865,447.99
8/4/2023,446.81,100128900,450.72,452.895,446.27
8/3/2023,448.84,64419690,448.04,450.79,447.37
8/2/2023,450.13,93933370,453.25,453.52,449.3499
8/1/2023,456.48,55502200,456.27,457.25,455.49
7/31/2023,457.79,62040450,457.41,458.16,456.045
7/28/2023,456.92,80011790,455.88,457.78,452.4918
7/27/2023,452.49,92194380,459.02,459.44,451.55
7/26/2023,455.51,71052890,454.47,456.99,453.38
7/25/2023,455.44,55191240,453.92,456.735,453.87
7/24/2023,454.2,54023380,453.37,455.04,452.298
7/21/2023,452.18,71275620,453.96,454.165,452.17
7/20/2023,452.18,70591640,454.17,455.1,451.44
7/19/2023,455.2,65891690,455.01,456.43,454.1119
7/18/2023,454.19,80744450,450.5,454.86,450.0484
7/17/2023,450.84,52680220,449.13,451.93,449.08
7/14/2023,449.28,69815820,450.475,451.36,448.49
7/13/2023,449.56,72425240,447.9,450.38,447.45
7/12/2023,446.02,91924530,446.39,447.4799,444.91
7/11/2023,442.46,64463750,440.45,442.97,439.44
7/10/2023,439.66,62443500,438.18,439.84,437.585
7/7/2023,438.55,86134180,438.63,442.64,438.3
7/6/2023,439.66,80658300,439.42,440.1,437.06
7/5/2023,443.13,58418430,441.91,443.889,441.9
7/3/2023,443.79,32793380,442.92,444.08,442.63
6/30/2023,443.28,104964000,441.44,444.3,441.11
6/29/2023,438.11,67882300,435.96,438.28,435.54
6/28/2023,436.39,75635980,435.05,437.44,434.41
6/27/2023,436.17,72813700,432.35,436.81,431.88
6/26/2023,431.44,72823560,432.62,434.61,431.19
6/23/2023,433.21,92074540,432.93,435.06,432.47
6/22/2023,436.51,70637180,433.95,436.62,433.6
6/21/2023,434.94,76982250,436.16,436.99,434.33
6/20/2023,437.18,76160360,437.45,438.37,435.03
6/16/2023,439.46,114165800,443.02,443.6078,438.97
6/15/2023,442.6,110303100,436.33,443.9,436.23
6/14/2023,437.18,100612100,437.01,439.0612,433.59
6/13/2023,436.66,95899700,435.32,437.33,434.63
6/12/2023,433.8,76256700,430.92,433.88,430.17
6/9/2023,429.9,85647270,429.96,431.99,428.87
6/8/2023,429.13,61952840,426.62,429.6,425.82
6/7/2023,426.55,85373280,428.44,429.62,426.11
6/6/2023,428.03,64022180,426.67,428.5772,425.99
6/5/2023,427.1,65460160,428.28,429.62,426.37
6/2/2023,427.92,91426170,424.5,428.74,423.95
6/1/2023,421.82,88865020,418.09,422.92,416.79
5/31/2023,417.85,110811800,418.28,419.22,416.22
5/30/2023,420.18,72215960,422.03,422.58,418.735
5/26/2023,420.02,93829980,415.33,420.77,415.25
5/25/2023,414.65,90961610,414.74,416.16,412.4101
5/24/2023,411.09,89213680,412.42,412.82,409.8795
5/23/2023,414.09,86383490,417.08,418.722,413.68
5/22/2023,418.79,60745400,418.64,420.39,417.35
5/19/2023,418.62,103793300,420.17,420.72,417.35
5/18/2023,419.23,97177200,414.9,419.67,414.67
5/17/2023,415.23,87286960,412.35,415.855,410.635
5/16/2023,410.25,57705500,411.86,412.815,410.24
5/15/2023,413.01,54289380,412.22,413.43,410.23
5/12/2023,411.59,70481550,413.42,413.64,409.07
5/11/2023,412.13,70157060,411.95,412.43,409.97
5/10/2023,412.85,96142920,413.88,414.535,408.87
5/9/2023,410.93,49220120,411.13,412.09,410.6894
5/8/2023,412.74,50046770,412.97,413.24,411.28
5/5/2023,412.63,87891790,408.91,413.72,408.64
5/4/2023,405.13,94901860,406.93,407.27,403.74
5/3/2023,408.02,91531770,411.36,413.87,407.77
5/2/2023,410.84,103998500,414.77,414.82,407.82
5/1/2023,415.51,62122250,415.47,417.62,415.265
4/28/2023,415.93,89433140,411.49,415.94,411.43
4/27/2023,412.41,92968370,407,412.69,406.74
4/26/2023,404.36,80447050,406.72,407.84,403.78
4/25/2023,406.08,97766720,410.58,411.16,406.02
4/24/2023,412.63,64332100,411.99,413.07,410.6
4/21/2023,412.2,73457420,412.19,412.68,410.17
4/20/2023,411.88,75840360,411.21,413.7,410.27
4/19/2023,414.14,55227330,412.22,415.08,412.16
4/18/2023,414.21,63560000,415.58,415.72,412.7802
4/17/2023,413.94,66436400,412.37,413.96,411.085
4/14/2023,412.46,78161500,412.81,415.09,410.06
4/13/2023,413.47,85814750,409.18,413.84,407.9922
4/12/2023,408.05,86420380,411.87,412.17,407.44
4/11/2023,409.72,59297950,410.26,411.18,408.92
4/10/2023,409.61,63681040,406.61,409.69,405.97
4/6/2023,409.19,63743350,406.77,409.48,405.678
4/5/2023,407.6,65200240,407.91,408.7,405.88
4/4/2023,408.67,66601530,411.62,411.92,407.24
4/3/2023,410.95,67391100,408.85,411.37,408.44
3/31/2023,409.39,112062600,404.66,409.7,404.55
3/30/2023,403.7,69840050,404.09,404.35,401.76
3/29/2023,401.35,77497880,399.925,401.6,398.68
3/28/2023,395.6,62871680,395.77,396.49,393.69
3/27/2023,396.49,74010410,398.12,398.92,395.56
3/24/2023,395.75,107770100,391.841,395.84,389.4
3/23/2023,393.17,119351300,395.09,399.29,390.35
3/22/2023,392.11,111746600,398.73,402.49,392.07
