Currency Pair,Start Date,End Date,Peak Equity,Final Equity,PnL,Return Pct,Sharpe Ratio,Win Rate,Profit Factor,Number of Trades,Optimal STD,Optimal EMA
AUDUSD=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10174.183284951505,9075.37125113245,-924.6287488675521,-9.246287488675497,0.0,47.368421052631575,0.5326040150377386,19,3.0,61
EURCAD=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10164.693474482729,9408.197253267483,-591.8027467325182,-5.918027467325173,0.0,36.36363636363637,0.42346433366737407,22,2.8,27
EURCHF=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10000.523894867516,9030.488806627674,-969.5111933723261,-9.695111933723256,0.0,33.33333333333333,0.2205717550822711,21,3.0,29
EURGBP=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10000.0,9811.83490624066,-188.16509375933862,-1.8816509375934038,0.0,50.0,0.741935278611247,20,2.8,54
EURJPY=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10000.0,9223.601061230474,-776.3989387695274,-7.763989387695255,0.0,56.25,0.3719746686558758,16,3.0,22
GBPJPY=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10001.935888024904,9152.442617333996,-847.5573826660037,-8.475573826660037,0.0,42.10526315789473,0.4376650721476006,19,2.4,40
GBPUSD=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10041.746700923157,8222.521924575634,-1777.478075424368,-17.774780754243658,0.0,38.095238095238095,0.21372194533185404,21,3.0,49
USDCAD=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10411.054240855228,10362.511051824582,362.51105182458684,3.6251105182458194,0.7150807281648093,64.28571428571429,1.571295138511208,28,3.0,29
USDCHF=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10000.0,9327.951682815277,-672.0483171847255,-6.720483171847228,0.0,40.0,0.4527699419710037,20,3.0,46
USDCNY=X,2021-10-25 01:00:00+00:00,2022-10-21 21:00:00+00:00,10006.520316786193,9938.31275488511,-61.68724511489256,-0.6168724511489018,0.0,61.904761904761905,0.7871760477806224,21,3.0,24
USDHKD=X,2021-10-24 23:00:00+00:00,2022-10-21 21:00:00+00:00,10000.0,9511.182861692823,-488.8171383071803,-4.888171383071767,0.0,0.0,0.0,23,3.0,51
USDJPY=X,2021-10-24 23:00:00+00:00,2022-10-21 20:00:00+00:00,10624.787313311766,10572.531850665282,572.5318506652849,5.725318506652821,0.8531524087882294,72.22222222222221,2.1113763788268645,18,2.8,29
USDNOK=X,2021-10-24 23:00:00+00:00,2022-10-21 20:00:00+00:00,10901.896097662362,10544.352918952958,544.352918952954,5.443529189529581,0.5456967954057289,66.66666666666666,1.605985663289215,21,3.0,68
USDSGD=X,2021-10-24 23:00:00+00:00,2022-10-21 20:00:00+00:00,10041.018907602314,9691.775242613427,-308.22475738657175,-3.082247573865734,0.0,47.05882352941176,0.37800268803937326,17,3.0,60
