Currency Pair,PnL,Final Equity,Sharpe Ratio,Return Pct
,,,,
EUR/USD,380.021,10380.02124,0.15588,3.8
,,,,
GBP/USD,-1421.312,8578.687969,0,-14.213
,,,,
USD/JPY,-527.307,9472.6928,0,-5.273
,,,,
USD/CHF,-2501.814,7498.185703,0,-25.018
,,,,
AUD/USD,1696.518,11696.518,0.41169,16.965
,,,,
EUR/GBP,1978.475,11978.47535,0.79569,19.785
,,,,
USD/CAD,-1310.604,8689.395619,0,-13.106
,,,,
NZD/USD,1341.968,11341.96814,0.33103,13.42
,,,,
EUR/JPY,-71.618,9928.3823,0,-0.716
,,,,
GBP/JPY,-1766.17,8233.8304,0,-17.662
