timestamp,Open,High,Low,Close
2005-01-31,80.12,80.41,76.94,80.31
2005-02-28,80.31,83.55,79.8,82.79
2005-03-31,82.82,83.66,81.49,82.84
2005-04-29,82.81,83.92,81.75,81.79
2005-05-31,81.94,82.44,80.6,81.96
2005-06-30,81.94,85.02,81.1,84.36
2005-07-29,84.39,85.67,82.66,85.08
2005-08-31,85.04,86.38,82.61,83.43
2005-09-30,83.44,86.73,83.35,86.54
2005-10-31,86.54,87.62,85.57,87.05
2005-11-30,87.05,88.58,85.81,88.56
2005-12-30,88.58,91.35,84.51,86.57
2006-01-31,86.26,88.97,85.52,88.8
2006-02-28,88.82,89.38,85.48,85.88
2006-03-31,85.91,87.52,82.07,84.3
2006-04-28,84.23,87.84,83.77,86.47
2006-05-31,86.21,87.76,83.52,84.65
2006-06-30,84.7,85.64,83.47,85.0
2006-07-31,84.92,88.9,84.78,87.71
2006-08-31,87.69,89.68,87.16,89.63
2006-09-29,89.62,89.87,87.26,88.13
2006-10-31,87.99,90.82,87.53,90.47
2006-11-30,90.47,91.57,89.77,91.34
2006-12-29,91.3,95.77,90.03,93.89
2007-01-31,93.86,96.44,91.99,93.69
2007-02-28,93.74,95.92,92.62,93.36
2007-03-30,93.34,95.76,88.49,95.23
2007-04-30,95.19,100.0,95.0,99.15
2007-05-31,99.14,100.89,98.29,100.74
2007-06-29,100.76,105.34,100.65,104.59
2007-07-31,104.51,107.69,100.01,100.96
2007-08-31,100.91,103.62,85.98,94.67
2007-09-28,94.66,101.97,92.21,101.9
2007-10-31,101.93,107.85,99.36,107.35
2007-11-30,107.33,107.8,92.98,98.3
2007-12-31,98.25,100.15,95.25,97.7
2008-01-31,97.71,98.48,90.1,95.33
2008-02-29,95.32,100.45,94.17,96.55
2008-03-31,96.48,97.53,88.17,91.26
2008-04-30,91.27,98.73,90.52,98.02
2008-05-30,98.0,101.03,96.27,100.83
2008-06-30,100.61,103.67,99.26,101.61
2008-07-31,101.63,104.44,100.22,101.49
2008-08-29,101.5,101.54,92.94,93.32
2008-09-30,93.11,93.17,81.45,84.13
2008-10-31,84.13,85.16,55.08,65.83
2008-11-28,65.1,70.53,56.89,62.53
2008-12-31,62.52,64.6,57.7,63.63
2009-01-30,63.58,68.14,56.29,57.35
2009-02-27,57.13,64.58,55.57,62.28
2009-03-31,62.31,69.62,61.05,68.3
2009-04-30,68.3,73.48,66.85,71.45
2009-05-29,71.43,76.91,70.53,76.33
2009-06-30,76.38,80.45,74.04,77.55
2009-07-31,77.52,79.61,70.76,79.1
2009-08-31,79.08,82.0,76.71,78.4
2009-09-30,78.42,80.05,76.42,79.26
2009-10-30,79.26,85.27,76.35,81.11
2009-11-30,81.01,84.22,76.58,79.03
2009-12-31,79.15,83.83,78.56,83.37
2010-01-29,83.45,86.21,79.68,79.72
2010-02-26,79.73,82.81,76.21,79.63
2010-03-31,79.62,85.83,79.2,85.65
2010-04-30,85.64,88.07,83.91,86.67
2010-05-31,86.67,87.95,71.83,77.23
2010-06-30,77.21,80.86,73.64,74.3
2010-07-30,74.3,79.43,72.65,78.19
2010-08-31,78.3,79.31,73.55,75.101
2010-09-30,75.12,81.42,74.91,80.59
2010-10-29,80.61,81.83,78.16,79.02
2010-11-30,79.12,83.0,79.01,80.174
2010-12-31,80.17,83.68,79.73,82.94
2011-01-31,82.8,83.37,80.97,81.81
2011-02-28,81.81,84.47,81.7,83.282
2011-03-31,83.52,86.11,74.43,85.93
2011-04-29,85.94,90.03,85.85,89.03
2011-05-31,88.94,89.32,84.3,86.835
2011-06-30,86.8,87.6,84.04,86.261
2011-07-29,86.3,87.77,83.15,84.38
2011-08-31,85.1,86.18,76.52,81.915
2011-09-30,82.17,82.82,73.35,74.379
2011-10-31,74.63,83.94,72.04,82.389
2011-11-30,82.81,82.82,74.76,79.788
2011-12-30,79.41,80.52,76.97,78.46
2012-01-31,78.66,82.84,78.06,80.956
2012-02-29,80.78,87.48,80.55,87.07
2012-03-30,87.04,88.64,84.59,85.68
2012-04-30,86.65,86.76,82.47,83.19
2012-05-31,83.21,83.32,75.73,76.198
2012-06-29,76.2,81.93,74.44,81.68
2012-07-31,82.0,82.47,79.49,81.96
2012-08-31,81.94,83.57,80.63,80.98
2012-09-28,80.64,83.08,79.65,80.89
2012-10-31,80.68,83.48,79.38,82.77
2012-11-30,82.78,86.43,81.95,85.937
2012-12-31,85.89,90.22,85.36,90.16
2013-01-31,90.16,95.66,89.81,95.61
2013-02-28,95.58,97.48,92.95,94.53
2013-03-29,94.53,99.98,94.39,98.18
2013-04-30,98.14,105.42,96.86,100.91
2013-05-31,100.9,102.32,96.01,96.187
2013-06-28,96.55,97.36,88.89,90.67
2013-07-31,90.58,93.0,87.34,87.581
2013-08-30,87.491,90.11,86.4,87.37
2013-09-30,87.833,94.43,87.723,91.58
2013-10-31,91.59,95.67,90.8,93.04
2013-11-29,93.03,94.59,92.23,93.25
2013-12-31,93.53,94.197,91.21,93.77
