timestamp,Open,High,Low,Close
2005-01-31,85.39,85.7,82.7,83.5
2005-02-28,83.53,86.08,82.89,84.73
2005-03-31,84.67,88.97,83.82,88.57
2005-04-29,88.54,89.13,83.05,83.26
2005-05-31,83.38,86.57,83.19,86.45
2005-06-30,86.43,90.62,85.19,90.48
2005-07-29,90.51,93.22,89.39,91.82
2005-08-31,92.07,93.8,90.33,93.03
2005-09-30,93.04,97.89,91.57,97.63
2005-10-31,97.63,99.31,95.64,98.47
2005-11-30,98.47,102.81,98.21,102.79
2005-12-30,102.79,105.03,99.11,101.47
2006-01-31,101.15,103.14,97.08,102.84
2006-02-28,102.86,104.11,100.5,101.53
2006-03-31,101.53,103.41,98.98,100.71
2006-04-28,100.63,103.74,100.03,101.79
2006-05-31,101.66,102.82,98.26,102.27
2006-06-30,102.23,104.45,101.11,102.52
2006-07-31,102.41,104.2,100.58,101.25
2006-08-31,101.23,106.38,101.0,106.29
2006-09-29,106.3,106.35,103.67,105.7
2006-10-31,105.64,106.23,103.74,104.2
2006-11-30,104.19,104.83,101.12,101.49
2006-12-29,101.43,103.31,99.97,102.09
2007-01-31,102.08,103.66,100.23,102.51
2007-02-28,102.52,104.79,100.69,101.3
2007-03-30,101.25,102.74,97.48,102.07
2007-04-30,102.02,108.12,101.69,107.64
2007-05-31,107.65,114.03,107.13,113.85
2007-06-29,113.82,117.63,113.41,115.6
2007-07-31,115.52,118.19,110.48,111.13
2007-08-31,111.12,114.31,103.4,109.64
2007-09-28,109.64,116.01,106.5,115.65
2007-10-31,115.66,122.44,115.4,122.18
2007-11-30,122.14,125.52,108.1,111.32
2007-12-31,111.29,116.8,107.87,111.83
2008-01-31,111.86,113.24,101.83,106.13
2008-02-29,106.12,109.58,104.67,105.02
2008-03-31,104.92,105.68,95.68,97.38
2008-04-30,97.37,104.08,97.1,103.28
2008-05-30,103.25,107.09,101.6,106.2
2008-06-30,105.95,107.06,102.48,103.9
2008-07-31,103.9,107.13,103.12,105.36
2008-08-29,105.39,105.42,101.49,102.2
2008-09-30,101.98,103.47,96.52,99.68
2008-10-31,99.7,100.66,71.02,81.05
2008-11-28,81.5,87.49,72.17,77.1
2008-12-31,77.06,77.41,70.62,74.29
2009-01-30,74.15,80.42,68.42,73.18
2009-02-27,73.18,79.37,71.49,76.48
2009-03-31,76.41,80.65,74.07,78.26
2009-04-30,78.27,83.06,77.45,82.51
2009-05-29,82.5,87.65,80.16,87.31
2009-06-30,87.38,89.4,82.1,82.82
2009-07-31,82.84,88.94,78.57,87.75
2009-08-31,87.8,90.31,83.8,84.95
2009-09-30,84.93,86.55,80.68,83.88
2009-10-30,83.87,88.29,81.33,82.98
2009-11-30,83.06,86.36,79.95,81.72
2009-12-31,81.79,89.07,81.63,88.35
2010-01-29,88.309,90.62,83.67,84.33
2010-02-26,84.32,88.45,82.38,84.53
2010-03-31,84.56,92.12,84.17,92.01
2010-04-30,91.99,94.48,89.94,92.16
2010-05-31,92.41,93.92,82.05,87.36
2010-06-30,87.36,90.04,82.96,83.12
2010-07-30,83.14,86.45,81.58,83.97
2010-08-31,83.95,85.22,78.39,79.04
2010-09-30,79.05,84.06,78.88,81.04
2010-10-29,81.04,82.32,78.65,78.84
2010-11-30,78.82,83.12,78.75,81.473
2010-12-31,81.64,84.2,81.17,81.281
2011-01-31,81.86,84.69,81.25,81.93
2011-02-28,81.94,85.22,81.58,84.125
2011-03-31,84.36,85.81,77.08,85.74
2011-04-29,85.76,89.52,84.56,85.89
2011-05-31,85.76,86.08,82.3,84.135
2011-06-30,83.99,84.25,81.21,83.549
2011-07-29,83.68,85.06,80.18,80.35
2011-08-31,80.99,82.68,76.78,78.341
2011-09-30,78.57,79.11,73.29,73.316
2011-10-31,73.6,79.63,72.13,78.179
2011-11-30,78.55,78.57,73.47,76.208
2011-12-30,76.19,77.38,74.72,75.25
2012-01-31,75.34,77.6,74.51,76.037
2012-02-29,75.94,82.21,75.74,81.96
2012-03-30,81.95,84.96,80.36,82.96
2012-04-30,83.27,83.68,80.15,80.83
2012-05-31,80.85,81.86,75.43,75.88
2012-06-29,75.92,78.66,74.4,78.47
2012-07-31,78.64,79.12,76.3,77.85
2012-08-31,77.82,80.68,77.47,79.46
2012-09-28,79.38,81.43,78.76,79.21
2012-10-31,79.19,81.12,79.01,79.77
2012-11-30,79.77,83.34,78.85,82.896
2012-12-31,82.9,87.42,82.2,87.36
2013-01-31,87.41,91.98,87.01,91.93
2013-02-28,91.93,94.5,88.48,89.78
2013-03-29,89.78,94.36,89.62,92.56
2013-04-30,92.69,98.87,91.16,96.66
2013-05-31,96.67,101.04,96.17,96.869
2013-06-28,97.002,97.46,91.78,94.27
2013-07-31,94.26,97.62,94.2,95.106
2013-08-30,95.135,96.29,92.29,93.14
2013-09-30,93.388,97.35,93.271,95.23
2013-10-31,95.21,95.82,92.89,94.25
2013-11-29,94.25,96.84,93.47,96.488
2013-12-31,96.45,99.18,95.19,99.09
