timestamp,Open,High,Low,Close
2005-01-31,1.7347,1.7425,1.673,1.6812
2005-02-28,1.6797,1.6931,1.635,1.6707
2005-03-31,1.6698,1.7041,1.6619,1.6767
2005-04-29,1.6759,1.703,1.6446,1.6475
2005-05-31,1.6473,1.6736,1.6253,1.6289
2005-06-30,1.6289,1.6367,1.553,1.5896
2005-07-29,1.5897,1.6308,1.5741,1.6006
2005-08-31,1.6034,1.641,1.5898,1.6347
2005-09-30,1.6345,1.6432,1.5725,1.575
2005-10-31,1.575,1.6142,1.5591,1.6026
2005-11-30,1.6026,1.6293,1.5893,1.5939
2005-12-30,1.5941,1.6365,1.5607,1.6111
2006-01-31,1.616,1.6393,1.5976,1.6031
2006-02-28,1.6031,1.6248,1.5949,1.6054
2006-03-31,1.6053,1.7112,1.5899,1.6908
2006-04-28,1.6828,1.7048,1.6338,1.6601
2006-05-31,1.6638,1.712,1.6366,1.704
2006-06-30,1.7028,1.735,1.6807,1.7206
2006-07-31,1.7204,1.7259,1.6575,1.6675
2006-08-31,1.6668,1.6954,1.6569,1.676
2006-09-29,1.6758,1.7074,1.6592,1.6984
2006-10-31,1.7014,1.7135,1.6461,1.6488
2006-11-30,1.6488,1.6901,1.6431,1.6778
2006-12-29,1.6784,1.6968,1.6292,1.6728
2007-01-31,1.6731,1.6821,1.6365,1.6771
2007-02-28,1.677,1.6863,1.6572,1.6782
2007-03-30,1.6777,1.7031,1.6422,1.6511
2007-04-30,1.65,1.6526,1.6182,1.6434
2007-05-31,1.6438,1.6585,1.6212,1.6245
2007-06-29,1.6239,1.626,1.577,1.5938
2007-07-31,1.5938,1.6149,1.5472,1.6061
2007-08-31,1.6064,1.7444,1.5913,1.6656
2007-09-28,1.6658,1.6846,1.6022,1.6064
2007-10-31,1.6059,1.622,1.5499,1.5534
2007-11-30,1.5535,1.7156,1.5492,1.6546
2007-12-31,1.6556,1.6993,1.6486,1.6667
2008-01-31,1.6669,1.6961,1.6474,1.6582
2008-02-29,1.6583,1.6608,1.592,1.6308
2008-03-31,1.6308,1.7422,1.6114,1.7248
2008-04-30,1.7244,1.7325,1.6487,1.6556
2008-05-30,1.6557,1.6662,1.6179,1.6265
2008-06-30,1.6295,1.6525,1.6043,1.6436
2008-07-31,1.6434,1.6606,1.6201,1.6563
2008-08-29,1.6564,1.735,1.6554,1.7092
2008-09-30,1.7108,1.8293,1.7078,1.7766
2008-10-31,1.7759,2.1164,1.7623,1.9041
2008-11-28,1.9197,2.0565,1.8498,1.9385
2008-12-31,1.9379,2.103,1.9257,1.9866
2009-01-30,1.9892,2.0191,1.861,2.0087
2009-02-27,2.012,2.0392,1.9022,1.9832
2009-03-31,1.9821,2.0063,1.9043,1.9163
