timestamp,Open,High,Low,Close
2005-01-31,1.5442,1.5547,1.5378,1.5488
2005-02-28,1.5489,1.565,1.5325,1.5371
2005-03-31,1.5371,1.5576,1.5312,1.5504
2005-04-29,1.5508,1.5587,1.5345,1.5383
2005-05-31,1.5394,1.5505,1.5344,1.5352
2005-06-30,1.5315,1.553,1.527,1.5505
2005-07-29,1.5504,1.5665,1.5462,1.5624
2005-08-31,1.5624,1.5644,1.5392,1.5464
2005-09-30,1.5463,1.559,1.5392,1.5552
2005-10-31,1.5552,1.5567,1.5404,1.5449
2005-11-30,1.5449,1.5519,1.5351,1.55
2005-12-30,1.5498,1.5653,1.5318,1.5549
2006-01-31,1.5573,1.5573,1.5401,1.5534
2006-02-28,1.5533,1.5676,1.5511,1.5635
2006-03-31,1.5631,1.5817,1.5576,1.5798
2006-04-28,1.5789,1.5855,1.5628,1.5641
2006-05-31,1.5637,1.5705,1.5449,1.5611
2006-06-30,1.5615,1.5761,1.5487,1.5636
2006-07-31,1.5637,1.5787,1.558,1.571
2006-08-31,1.5705,1.583,1.5703,1.577
2006-09-29,1.577,1.5965,1.5753,1.585
2006-10-31,1.5853,1.5963,1.582,1.5876
2006-11-30,1.5876,1.6009,1.5791,1.586
2006-12-29,1.5861,1.6103,1.5859,1.6089
2007-01-31,1.6074,1.626,1.6054,1.6213
2007-02-28,1.6212,1.629,1.6083,1.6132
2007-03-30,1.6129,1.6267,1.593,1.623
2007-04-30,1.6229,1.6487,1.6209,1.6474
2007-05-31,1.6474,1.6602,1.6413,1.6483
2007-06-29,1.6481,1.6669,1.6417,1.654
2007-07-31,1.6536,1.6686,1.6412,1.6434
2007-08-31,1.643,1.6531,1.6178,1.6469
2007-09-28,1.647,1.6616,1.6332,1.6607
2007-10-31,1.6609,1.683,1.6573,1.6775
2007-11-30,1.6773,1.6791,1.6294,1.656
2007-12-31,1.6564,1.6724,1.6185,1.6538
2008-01-31,1.6539,1.6557,1.5821,1.6069
2008-02-29,1.6069,1.623,1.5799,1.5803
2008-03-31,1.5807,1.5877,1.5331,1.5681
2008-04-30,1.5679,1.6246,1.5662,1.6167
2008-05-30,1.6166,1.6375,1.6065,1.6209
2008-06-30,1.6217,1.625,1.6021,1.6082
2008-07-31,1.6082,1.6369,1.5989,1.6336
2008-08-29,1.6337,1.6351,1.6093,1.6157
2008-09-30,1.6137,1.6162,1.5661,1.5819
2008-10-31,1.5817,1.5826,1.4301,1.4746
2008-11-28,1.4762,1.5532,1.4713,1.54
2008-12-31,1.54,1.5882,1.4753,1.4936
2009-01-30,1.4936,1.5194,1.4653,1.4863
2009-02-27,1.4863,1.5155,1.47,1.4818
2009-03-31,1.4822,1.5447,1.458,1.5097
2009-04-30,1.5081,1.5299,1.5018,1.509
2009-05-29,1.5089,1.5234,1.5009,1.51
2009-06-30,1.5099,1.5381,1.5008,1.5238
2009-07-31,1.5239,1.5346,1.511,1.5228
2009-08-31,1.5226,1.5365,1.5135,1.5179
2009-09-30,1.5179,1.5241,1.5073,1.5159
2009-10-30,1.5158,1.5204,1.5076,1.5115
2009-11-30,1.5102,1.5144,1.5008,1.5083
2009-12-31,1.5082,1.5141,1.4819,1.4827
2010-01-29,1.4831,1.489,1.4636,1.4703
2010-02-26,1.4702,1.4853,1.4558,1.4626
2010-03-31,1.4628,1.4655,1.4206,1.4235
2010-04-30,1.4233,1.4466,1.4146,1.4327
2010-05-31,1.4338,1.4588,1.3993,1.4216
2010-06-30,1.4218,1.4224,1.3163,1.3181
2010-07-30,1.3184,1.3818,1.3069,1.3584
2010-08-31,1.3588,1.3925,1.2847,1.287
2010-09-30,1.2871,1.3408,1.276,1.3399
2010-10-29,1.3403,1.3738,1.326,1.3696
2010-11-30,1.3711,1.3834,1.293,1.3028
2010-12-31,1.3032,1.3206,1.2401,1.2508
2011-01-31,1.2429,1.3068,1.241,1.2923
2011-02-28,1.2925,1.3205,1.2703,1.282
2011-03-31,1.2845,1.304,1.2415,1.3013
2011-04-29,1.3013,1.3241,1.2726,1.2816
2011-05-31,1.2814,1.2881,1.2096,1.2293
2011-06-30,1.228,1.2318,1.1802,1.2194
2011-07-29,1.2191,1.2345,1.1296,1.1313
2011-08-31,1.1395,1.1972,1.0069,1.1597
2011-09-30,1.1584,1.2344,1.0998,1.2158
2011-10-31,1.2142,1.2473,1.2119,1.2148
2011-11-30,1.2164,1.2456,1.212,1.2275
2011-12-30,1.2293,1.2443,1.213,1.2163
2012-01-31,1.2146,1.2199,1.203,1.2037
2012-02-29,1.2037,1.2127,1.2027,1.2051
2012-03-30,1.2049,1.2147,1.2029,1.2039
2012-04-30,1.2037,1.2049,1.1992,1.2013
