timestamp,Open,High,Low,Close
1/31/2005,1.3552,1.358,1.2918,1.3033
2/28/2005,1.3022,1.3278,1.2728,1.3222
3/31/2005,1.3183,1.3481,1.2852,1.2962
4/29/2005,1.2959,1.3124,1.2775,1.2869
5/31/2005,1.2859,1.299,1.2292,1.2305
6/30/2005,1.2305,1.2353,1.1981,1.2092
7/29/2005,1.2099,1.2254,1.1864,1.2119
8/31/2005,1.2129,1.2486,1.2095,1.2339
9/30/2005,1.2335,1.2589,1.1976,1.2016
10/31/2005,1.2016,1.2207,1.1871,1.1992
11/30/2005,1.1992,1.2084,1.1637,1.1793
12/30/2005,1.179,1.2061,1.1657,1.1829
1/31/2006,1.1852,1.2322,1.1797,1.2156
2/28/2006,1.2154,1.2166,1.1825,1.192
3/31/2006,1.1921,1.2207,1.1857,1.2121
4/28/2006,1.2116,1.2635,1.2029,1.2613
5/31/2006,1.2628,1.2971,1.2553,1.2812
6/30/2006,1.2817,1.298,1.2475,1.2789
7/31/2006,1.2786,1.2859,1.2458,1.2766
8/31/2006,1.2763,1.2938,1.2695,1.2806
9/29/2006,1.2805,1.2874,1.2632,1.2674
10/31/2006,1.268,1.2782,1.2483,1.2762
11/30/2006,1.2761,1.3274,1.2682,1.3241
12/29/2006,1.3241,1.3367,1.3052,1.3197
1/31/2007,1.3197,1.3296,1.2867,1.3033
2/28/2007,1.3032,1.3259,1.2912,1.3225
3/30/2007,1.3226,1.341,1.3072,1.3352
4/30/2007,1.3373,1.3679,1.3319,1.3646
5/31/2007,1.3647,1.3673,1.3408,1.3453
6/29/2007,1.3452,1.3551,1.3264,1.3541
7/31/2007,1.3541,1.3851,1.3528,1.3683
8/31/2007,1.3682,1.3838,1.337,1.3628
9/28/2007,1.3629,1.4278,1.3551,1.4266
10/31/2007,1.4268,1.4503,1.4014,1.4478
11/30/2007,1.4477,1.4966,1.4403,1.4632
12/31/2007,1.4639,1.477,1.4309,1.4584
1/31/2008,1.4587,1.4918,1.4366,1.4858
2/29/2008,1.486,1.5238,1.444,1.5189
3/31/2008,1.5194,1.5903,1.5146,1.5762
4/30/2008,1.5761,1.6017,1.5511,1.5618
5/30/2008,1.5619,1.5817,1.5289,1.5554
6/30/2008,1.5561,1.5842,1.5304,1.5754
7/31/2008,1.5754,1.6035,1.5519,1.5597
8/29/2008,1.5598,1.563,1.457,1.4671
9/30/2008,1.4686,1.4867,1.3882,1.4115
10/31/2008,1.4114,1.4174,1.2329,1.2731
11/28/2008,1.2726,1.3116,1.2389,1.2693
12/31/2008,1.2692,1.4719,1.2549,1.3971
1/30/2009,1.3968,1.4069,1.2764,1.2809
2/27/2009,1.281,1.3094,1.2513,1.2672
