timestamp,Open,High,Low,Close
2005-01-31,2.4559,2.4817,2.4208,2.4291
2005-02-28,2.4276,2.4495,2.3703,2.4263
2005-03-31,2.4251,2.458,2.3958,2.4448
2005-04-29,2.4431,2.498,2.4127,2.4436
2005-05-31,2.4425,2.4497,2.3864,2.4051
2005-06-30,2.4057,2.4237,2.3351,2.3532
2005-07-29,2.3538,2.3794,2.2653,2.3206
2005-08-31,2.3231,2.3978,2.2972,2.3894
2005-09-30,2.3894,2.4109,2.3086,2.3114
2005-10-31,2.3114,2.373,2.2942,2.3652
2005-11-30,2.3652,2.3991,2.3219,2.3386
2005-12-30,2.3382,2.3982,2.3002,2.3421
2006-01-31,2.3482,2.3838,2.3299,2.3464
2006-02-28,2.346,2.3737,2.3307,2.3616
2006-03-31,2.3609,2.4842,2.3285,2.422
2006-04-28,2.4114,2.4441,2.366,2.3993
2006-05-31,2.4026,2.5129,2.3818,2.4883
2006-06-30,2.487,2.5165,2.4533,2.4872
2006-07-31,2.4853,2.4887,2.4238,2.4393
2006-08-31,2.4389,2.5142,2.4379,2.4924
2006-09-29,2.4923,2.5373,2.4517,2.5096
2006-10-31,2.5153,2.542,2.46,2.4647
2006-11-30,2.4648,2.4996,2.4548,2.4919
2006-12-29,2.4924,2.5207,2.4504,2.483
2007-01-31,2.4831,2.5478,2.4569,2.5296
2007-02-28,2.5296,2.5486,2.4662,2.4921
2007-03-30,2.4914,2.5011,2.4191,2.4335
2007-04-30,2.4304,2.4457,2.378,2.4085
2007-05-31,2.4091,2.4319,2.3734,2.3914
2007-06-29,2.3905,2.3943,2.3291,2.3648
2007-07-31,2.3646,2.3922,2.3107,2.3849
2007-08-31,2.3851,2.5639,2.351,2.4659
2007-09-28,2.4655,2.4808,2.2885,2.3055
2007-10-31,2.3048,2.32,2.2187,2.2334
2007-11-30,2.2336,2.3882,2.2279,2.3262
2007-12-31,2.3245,2.368,2.2569,2.2682
2008-01-31,2.2683,2.2804,2.1694,2.2181
2008-02-29,2.2183,2.2255,2.0954,2.1368
2008-03-31,2.1364,2.2133,2.1067,2.1705
2008-04-30,2.1703,2.1906,2.0834,2.1074
2008-05-30,2.1072,2.1361,2.0322,2.0734
2008-06-30,2.0678,2.0935,2.0296,2.08
2008-07-31,2.08,2.1087,2.0394,2.1067
2008-08-29,2.1067,2.2045,2.1056,2.1221
2008-09-30,2.1241,2.3147,2.0978,2.2448
2008-10-31,2.2445,2.71,2.2231,2.404
2008-11-28,2.4076,2.4335,2.221,2.3475
2008-12-31,2.3464,2.3763,2.0496,2.0809
2009-01-30,2.0845,2.2863,2.0238,2.2783
2009-02-27,2.2868,2.2895,2.1722,2.2408
2009-03-31,2.2387,2.2566,2.0534,2.0723
2009-04-30,2.0725,2.097,2.009,2.038
2009-05-29,2.0379,2.0603,1.9697,2.0202
2009-06-30,2.0183,2.0881,1.9882,2.0433
2009-07-31,2.0434,2.0984,1.9832,1.9979
2009-08-31,1.9999,2.0266,1.9253,1.9298
2009-09-30,1.9301,1.9581,1.8073,1.8106
2009-10-30,1.8106,1.8497,1.7333,1.8308
2009-11-30,1.8272,1.8365,1.7699,1.7943
2009-12-31,1.7942,1.8307,1.7706,1.8014
2010-01-29,1.8021,1.8138,1.7259,1.8072
2010-02-26,1.8073,1.828,1.6991,1.6996
2010-03-31,1.7015,1.7032,1.6251,1.6553
2010-04-30,1.6551,1.674,1.634,1.652
2010-05-31,1.6585,1.7776,1.6214,1.7159
2010-06-30,1.7157,1.7891,1.6742,1.7767
2010-07-30,1.7768,1.8143,1.7046,1.734
2010-08-31,1.735,1.7605,1.7152,1.7197
2010-09-30,1.7197,1.721,1.6197,1.627
2010-10-29,1.6268,1.6573,1.5762,1.6302
2010-11-30,1.6285,1.6425,1.583,1.6231
2010-12-31,1.6251,1.6326,1.5145,1.5249
2011-01-31,1.5247,1.6206,1.5135,1.6053
2011-02-28,1.6053,1.6258,1.5757,1.5958
2011-03-31,1.5977,1.649,1.5479,1.5523
2011-04-29,1.5522,1.58,1.5188,1.5206
2011-05-31,1.5224,1.5526,1.5037,1.5434
2011-06-30,1.5415,1.5553,1.4883,1.4976
2011-07-29,1.4978,1.5205,1.4754,1.4934
2011-08-31,1.4896,1.6388,1.4789,1.5208
2011-09-30,1.5192,1.6135,1.4978,1.6129
2011-10-31,1.6089,1.6357,1.4984,1.5254
2011-11-30,1.5224,1.6055,1.5207,1.5272
2011-12-30,1.5335,1.5678,1.5112,1.5228
2012-01-31,1.5158,1.5189,1.4681,1.4838
2012-02-29,1.4854,1.4891,1.4552,1.483
2012-03-30,1.4824,1.5486,1.4717,1.5486
2012-04-30,1.5318,1.5728,1.5254,1.5568
2012-05-31,1.5569,1.6185,1.556,1.5836
2012-06-29,1.5854,1.5954,1.5281,1.5343
2012-07-31,1.5294,1.5343,1.4864,1.4935
2012-08-31,1.4931,1.5398,1.4708,1.5355
2012-09-28,1.5423,1.5641,1.5273,1.5584
2012-10-31,1.5566,1.5883,1.5444,1.5539
2012-11-30,1.5539,1.5598,1.5177,1.5354
2012-12-31,1.5363,1.5675,1.5261,1.5623
2013-01-31,1.5631,1.5661,1.4959,1.5206
2013-02-28,1.5207,1.5355,1.4616,1.4841
2013-03-29,1.4836,1.486,1.4375,1.46
2013-04-30,1.4594,1.5083,1.4406,1.4982
2013-05-31,1.4983,1.5888,1.4958,1.5871
2013-06-28,1.5822,1.6875,1.5666,1.6646
2013-07-31,1.6649,1.7013,1.6152,1.6964
2013-08-30,1.699,1.7474,1.6804,1.7418
2013-09-30,1.737,1.7406,1.6874,1.7356
2013-10-31,1.7356,1.7404,1.6649,1.6949
2013-11-29,1.6956,1.806,1.6761,1.7953
2013-12-31,1.7928,1.8645,1.7894,1.8549
