timestamp,Open,High,Low,Close
2005-01-31,2.1833,2.2466,2.1752,2.2396
2005-02-28,2.2388,2.2765,2.2074,2.2339
2005-03-31,2.2385,2.2619,2.2111,2.2612
2005-04-29,2.2611,2.2878,2.2481,2.2809
2005-05-31,2.2677,2.2853,2.2385,2.266
2005-06-30,2.271,2.3308,2.264,2.2945
2005-07-29,2.2954,2.3018,2.2309,2.2621
2005-08-31,2.2621,2.2928,2.234,2.2592
2005-09-30,2.2592,2.3078,2.2526,2.2824
2005-10-31,2.2824,2.2927,2.2444,2.2802
2005-11-30,2.2802,2.294,2.25,2.2735
2005-12-30,2.2732,2.3131,2.2557,2.2607
2006-01-31,2.2611,2.2791,2.2343,2.2739
2006-02-28,2.2729,2.3053,2.2568,2.3001
2006-03-31,2.2994,2.3012,2.2613,2.2631
2006-04-28,2.2632,2.2784,2.2455,2.2611
2006-05-31,2.258,2.2937,2.256,2.2797
2006-06-30,2.2802,2.2879,2.2555,2.2602
2006-07-31,2.259,2.3117,2.2503,2.2985
2006-08-31,2.298,2.3505,2.2963,2.3442
2006-09-29,2.3443,2.3775,2.3154,2.341
2006-10-31,2.3429,2.3816,2.335,2.3721
2006-11-30,2.3722,2.3865,2.3239,2.3546
2006-12-29,2.3543,2.4082,2.3403,2.3875
2007-01-31,2.3873,2.4756,2.3813,2.4444
2007-02-28,2.4443,2.4595,2.383,2.3944
2007-03-30,2.3941,2.4001,2.3289,2.3913
2007-04-30,2.3889,2.4271,2.3877,2.4135
2007-05-31,2.4132,2.4444,2.4055,2.4253
2007-06-29,2.4252,2.4749,2.4148,2.4531
2007-07-31,2.4523,2.4964,2.4299,2.4393
2007-08-31,2.4385,2.4568,2.3766,2.4371
2007-09-28,2.4368,2.4422,2.3485,2.3825
2007-10-31,2.3815,2.4203,2.3746,2.4108
2007-11-30,2.4109,2.4192,2.2609,2.3273
2007-12-31,2.3255,2.3355,2.2146,2.2497
2008-01-31,2.2497,2.2543,2.1179,2.1486
2008-02-29,2.1485,2.1837,2.0675,2.0699
2008-03-31,2.0698,2.0765,1.9383,1.9725
2008-04-30,1.9725,2.0704,1.9576,2.0569
2008-05-30,2.0567,2.0959,2.0205,2.0653
2008-06-30,2.0569,2.0653,2.0009,2.0344
2008-07-31,2.0344,2.0786,2.0102,2.0768
2008-08-29,2.0769,2.0802,1.9983,2.005
2008-09-30,2.0025,2.0361,1.9497,1.9987
2008-10-31,1.9986,2.0178,1.7594,1.8612
2008-11-28,1.8624,1.8972,1.7426,1.8656
2008-12-31,1.8648,1.8699,1.5121,1.5658
2009-01-30,1.5641,1.6948,1.5361,1.6857
2009-02-27,1.6863,1.7485,1.6353,1.6738
2009-03-31,1.674,1.6836,1.5851,1.6322
2009-04-30,1.631,1.7315,1.6292,1.6864
2009-05-29,1.6864,1.7475,1.6653,1.7267
2009-06-30,1.7261,1.8115,1.7123,1.788
2009-07-31,1.7877,1.8027,1.7392,1.7858
2009-08-31,1.7862,1.8091,1.7156,1.7245
2009-09-30,1.7247,1.7442,1.6226,1.6577
2009-10-30,1.6578,1.6952,1.6119,1.6863
2009-11-30,1.6876,1.7113,1.6469,1.6525
2009-12-31,1.6526,1.7024,1.6434,1.6737
2010-01-29,1.6736,1.7113,1.6318,1.6941
2010-02-26,1.6952,1.7014,1.6315,1.6351
2010-03-31,1.6349,1.6365,1.579,1.5994
2010-04-30,1.5993,1.6665,1.5945,1.6457
2010-05-31,1.6471,1.6917,1.6084,1.679
2010-06-30,1.679,1.7077,1.6087,1.6097
2010-07-30,1.6097,1.6563,1.5827,1.6326
2010-08-31,1.636,1.6759,1.5546,1.557
2010-09-30,1.5567,1.6006,1.5355,1.545
2010-10-29,1.5443,1.5796,1.5087,1.5752
2010-11-30,1.5755,1.6005,1.5413,1.5611
