timestamp,Open,High,Low,Close
2005-01-31,1.1461,1.1971,1.1368,1.1885
2005-02-28,1.1893,1.2263,1.1567,1.1626
2005-03-31,1.1613,1.2085,1.1474,1.196
2005-04-29,1.1961,1.2196,1.1736,1.1945
2005-05-31,1.1961,1.2496,1.1872,1.2474
2005-06-30,1.2481,1.2878,1.2407,1.2819
2005-07-29,1.2813,1.3081,1.2697,1.2849
2005-08-31,1.2878,1.2903,1.243,1.2529
2005-09-30,1.254,1.3001,1.2238,1.2943
2005-10-31,1.2943,1.3074,1.267,1.2884
2005-11-30,1.2884,1.3285,1.2758,1.3146
2005-12-30,1.3145,1.3231,1.2773,1.3145
2006-01-31,1.3144,1.3164,1.2555,1.2778
2006-02-28,1.2778,1.3238,1.277,1.3117
2006-03-31,1.3113,1.3229,1.2868,1.3034
2006-04-28,1.3033,1.3135,1.2382,1.2402
2006-05-31,1.2382,1.2449,1.1918,1.2183
2006-06-30,1.2178,1.2528,1.2016,1.2226
2006-07-31,1.2232,1.2594,1.2182,1.2305
2006-08-31,1.2306,1.2444,1.2183,1.2314
2006-09-29,1.2315,1.2622,1.2273,1.2505
2006-10-31,1.2498,1.2769,1.2405,1.2438
2006-11-30,1.2439,1.2579,1.1958,1.198
2006-12-29,1.1977,1.2271,1.1881,1.219
2007-01-31,1.2187,1.2571,1.2112,1.244
2007-02-28,1.2439,1.2551,1.2143,1.2196
2007-03-30,1.2195,1.2355,1.2031,1.2154
2007-04-30,1.2134,1.2284,1.1996,1.2072
2007-05-31,1.207,1.2331,1.2051,1.2252
2007-06-29,1.2252,1.2468,1.2148,1.2214
2007-07-31,1.221,1.2231,1.1961,1.2011
2007-08-31,1.2009,1.2213,1.1824,1.2085
2007-09-28,1.2081,1.2151,1.1625,1.1639
2007-10-31,1.1633,1.1893,1.1557,1.1586
2007-11-30,1.1586,1.1636,1.0896,1.1316
2007-12-31,1.1308,1.1626,1.1153,1.1334
2008-01-31,1.1336,1.1347,1.0759,1.0816
2008-02-29,1.0812,1.1105,1.0417,1.0429
2008-03-31,1.0396,1.0453,0.968,0.9948
2008-04-30,0.9948,1.0442,0.9888,1.0351
2008-05-30,1.0349,1.062,1.0215,1.042
2008-06-30,1.042,1.0538,1.013,1.0208
2008-07-31,1.0208,1.0521,1.0012,1.0473
2008-08-29,1.0473,1.1085,1.0432,1.1011
2008-09-30,1.0987,1.1418,1.0691,1.1217
2008-10-31,1.1203,1.1748,1.113,1.1579
2008-11-28,1.1571,1.2255,1.1475,1.2131
2008-12-31,1.2135,1.2251,1.0369,1.0702
2009-01-30,1.069,1.1715,1.061,1.1599
2009-02-27,1.1598,1.1888,1.1401,1.1691
2009-03-31,1.17,1.1967,1.116,1.1397
2009-04-30,1.139,1.1742,1.1242,1.1408
