timestamp,Open,High,Low,Close
2005-01-31,1.6312,1.6535,1.6226,1.6367
2005-02-28,1.6367,1.6583,1.6202,1.6217
2005-03-31,1.6219,1.6539,1.6156,1.6503
2005-04-29,1.6505,1.6683,1.632,1.6372
2005-05-31,1.6372,1.6673,1.6331,1.665
2005-06-30,1.665,1.6886,1.6576,1.685
2005-07-29,1.6853,1.7061,1.6495,1.6628
2005-08-31,1.6624,1.6903,1.6432,1.6809
2005-09-30,1.6809,1.6947,1.6693,1.6916
2005-10-31,1.6916,1.6986,1.6798,1.6931
2005-11-30,1.6931,1.7063,1.6886,1.6904
2005-12-30,1.6904,1.6927,1.6595,1.662
2006-01-31,1.6624,1.6635,1.6165,1.6214
2006-02-28,1.622,1.6382,1.62,1.6217
2006-03-31,1.6213,1.6354,1.6118,1.6162
2006-04-28,1.616,1.6189,1.5798,1.5806
2006-05-31,1.5802,1.5969,1.5591,1.5796
2006-06-30,1.5792,1.603,1.5712,1.5824
2006-07-31,1.5832,1.5967,1.5713,1.579
2006-08-31,1.5788,1.5839,1.5667,1.573
2006-09-29,1.5729,1.5927,1.5649,1.5878
2006-10-31,1.5871,1.5918,1.5558,1.5567
2006-11-30,1.5563,1.5683,1.5367,1.5403
2006-12-29,1.54,1.5482,1.5315,1.5329
2007-01-31,1.5321,1.5479,1.5282,1.5357
2007-02-28,1.5357,1.5439,1.5239,1.5281
2007-03-30,1.5282,1.537,1.5145,1.5174
2007-04-30,1.5166,1.5217,1.5087,1.5194
2007-05-31,1.5195,1.5338,1.5114,1.5283
2007-06-29,1.5283,1.5456,1.5273,1.5302
2007-07-31,1.5295,1.5317,1.5033,1.5162
2007-08-31,1.516,1.5433,1.5086,1.525
2007-09-28,1.525,1.529,1.4813,1.4851
2007-10-31,1.4852,1.487,1.4453,1.448
2007-11-30,1.4481,1.4565,1.4363,1.4478
2007-12-31,1.448,1.464,1.4351,1.4409
2008-01-31,1.4408,1.4539,1.4158,1.4164
2008-02-29,1.4165,1.4218,1.3907,1.3945
2008-03-31,1.3951,1.3968,1.3733,1.3771
2008-04-30,1.3771,1.3885,1.3457,1.356
2008-05-30,1.3558,1.385,1.3555,1.362
2008-06-30,1.3617,1.3826,1.3549,1.3588
2008-07-31,1.3584,1.3709,1.3438,1.3685
2008-08-29,1.3685,1.4278,1.3664,1.4158
2008-09-30,1.416,1.448,1.4053,1.4348
2008-10-31,1.4347,1.518,1.431,1.4835
2008-11-28,1.4825,1.5349,1.4646,1.5125
2008-12-31,1.5136,1.5336,1.4163,1.43
2009-01-30,1.435,1.5118,1.4313,1.5097
2009-02-27,1.5098,1.5493,1.4902,1.547
2009-03-31,1.5486,1.5579,1.5031,1.5225
2009-04-30,1.5225,1.5255,1.4729,1.4816
2009-05-29,1.4816,1.4842,1.44,1.4443
2009-06-30,1.4443,1.4658,1.4339,1.4473
2009-07-31,1.4478,1.4686,1.437,1.4386
2009-08-31,1.4381,1.4533,1.4313,1.4408
2009-09-30,1.4408,1.4462,1.4075,1.4086
2009-10-30,1.4086,1.4188,1.3857,1.4012
2009-11-30,1.3985,1.404,1.378,1.3835
2009-12-31,1.3835,1.4119,1.3787,1.4039
2010-01-29,1.4038,1.4083,1.3849,1.4065
2010-02-26,1.4072,1.4254,1.4014,1.4059
2010-03-31,1.406,1.4082,1.3915,1.3985
2010-04-30,1.3987,1.4012,1.3645,1.37
2010-05-31,1.3707,1.4208,1.3687,1.3995
2010-06-30,1.3996,1.4207,1.3687,1.3987
2010-07-30,1.3991,1.4032,1.3585,1.3595
2010-08-31,1.3596,1.3677,1.3453,1.3539
2010-09-30,1.3545,1.3558,1.3127,1.3155
2010-10-29,1.315,1.318,1.2885,1.2939
2010-11-30,1.2932,1.3256,1.2806,1.3201
2010-12-31,1.3209,1.3226,1.2791,1.2826
2011-01-31,1.2852,1.3042,1.2776,1.2789
2011-02-28,1.2787,1.2858,1.2691,1.2714
2011-03-31,1.2705,1.287,1.2576,1.2601
2011-04-29,1.2597,1.2634,1.2215,1.2239
2011-05-31,1.2224,1.2532,1.2208,1.2331
2011-06-30,1.2321,1.2445,1.2254,1.2278
2011-07-29,1.2287,1.2316,1.1989,1.2034
2011-08-31,1.2024,1.2279,1.1994,1.2036
2011-09-30,1.2036,1.3131,1.2017,1.3069
2011-10-31,1.3086,1.3197,1.238,1.2539
2011-11-30,1.2543,1.3148,1.2524,1.2812
2011-12-30,1.2819,1.3122,1.2761,1.296
2012-01-31,1.2972,1.3004,1.2498,1.2575
2012-02-29,1.257,1.2711,1.2409,1.2514
2012-03-30,1.2516,1.2707,1.2462,1.2571
2012-04-30,1.2524,1.2636,1.2344,1.237
2012-05-31,1.2369,1.2903,1.235,1.2886
2012-06-29,1.2882,1.297,1.2641,1.2675
2012-07-31,1.2649,1.2748,1.2427,1.2449
2012-08-31,1.2448,1.2556,1.2396,1.247
2012-09-28,1.2483,1.2506,1.2171,1.227
2012-10-31,1.2301,1.2338,1.2148,1.2197
2012-11-30,1.22,1.2295,1.2194,1.2199
2012-12-31,1.2203,1.225,1.2165,1.221
2013-01-31,1.221,1.2404,1.2193,1.2372
2013-02-28,1.237,1.2453,1.2337,1.2384
2013-03-29,1.2384,1.2529,1.2362,1.2406
2013-04-30,1.2411,1.2436,1.2307,1.2318
2013-05-31,1.2318,1.2725,1.2262,1.264
2013-06-28,1.2611,1.2813,1.2403,1.2662
2013-07-31,1.268,1.2848,1.2566,1.2706
2013-08-30,1.2709,1.2858,1.256,1.274
2013-09-30,1.2745,1.281,1.242,1.2555
2013-10-31,1.2553,1.2564,1.234,1.2407
2013-11-29,1.2415,1.2566,1.2404,1.2543
2013-12-31,1.2535,1.2698,1.2468,1.2616
