timestamp,Open,High,Low,Close
2014-01-31,1.6555,1.6665,1.631,1.6436
2014-02-28,1.6417,1.6819,1.6255,1.674
2014-03-31,1.671,1.6784,1.6466,1.6663
2014-04-30,1.6661,1.6897,1.6557,1.6873
2014-05-30,1.6873,1.6995,1.6695,1.6744
2014-06-30,1.6758,1.7114,1.6699,1.7109
2014-07-31,1.7109,1.7188,1.6857,1.6884
2014-08-29,1.6884,1.6892,1.6537,1.6596
2014-09-30,1.659,1.6643,1.6052,1.6214
2014-10-31,1.6214,1.625,1.5877,1.599
2014-11-28,1.596,1.6021,1.5585,1.5647
2014-12-31,1.56311,1.57855,1.5483,1.55749
2015-01-30,1.55759,1.55871,1.4947,1.50669
2015-02-27,1.50905,1.55522,1.4985,1.54329
2015-03-31,1.54258,1.5429,1.4631,1.48283
2015-04-30,1.48283,1.54987,1.4563,1.5348
2015-05-29,1.53482,1.58148,1.5087,1.52928
2015-06-30,1.52871,1.59301,1.5169,1.56829
2015-07-31,1.56818,1.5734,1.5327,1.56193
2015-08-31,1.56269,1.58185,1.5334,1.535
2015-09-30,1.53504,1.56587,1.5105,1.51226
2015-10-30,1.51228,1.55089,1.5105,1.5425
2015-11-30,1.54503,1.54973,1.499,1.50627
2015-12-31,1.50629,1.52398,1.47229,1.47339
2016-01-29,1.4733,1.48161,1.40798,1.4245
2016-02-29,1.42346,1.4668,1.3834,1.39249
2016-03-31,1.39254,1.45145,1.3902,1.43677
2016-04-29,1.43677,1.46707,1.4004,1.46064
2016-05-31,1.45906,1.47698,1.433,1.44923
2016-06-30,1.4492,1.50186,1.31194,1.33117
2016-07-29,1.3312,1.34812,1.2792,1.32299
2016-08-31,1.32191,1.33717,1.2864,1.31443
2016-09-30,1.31439,1.34451,1.2912,1.29763
2016-10-31,1.29339,1.29466,1.19432,1.22344
2016-11-30,1.22339,1.26737,1.2204,1.25113
2016-12-30,1.25109,1.27747,1.21977,1.2346
2017-01-31,1.23414,1.26737,1.1986,1.25797
2017-02-28,1.25795,1.2706,1.23447,1.2376
2017-03-31,1.23759,1.26154,1.21073,1.25429
2017-04-28,1.25496,1.29655,1.2363,1.29445
2017-05-31,1.29276,1.30478,1.27683,1.28701
2017-06-30,1.28701,1.30304,1.2587,1.30218
2017-07-31,1.30182,1.32251,1.28092,1.32
2017-08-31,1.32,1.32687,1.27725,1.29409
2017-09-29,1.29411,1.36576,1.2903,1.33933
2017-10-31,1.33968,1.33983,1.3026,1.32859
2017-11-30,1.32859,1.35486,1.3038,1.35131
2017-12-29,1.35124,1.35498,1.33,1.35009
2018-01-31,1.3498,1.43455,1.3456,1.41963
2018-02-28,1.41962,1.42782,1.3752,1.3756
2018-03-30,1.37557,1.42446,1.371,1.401
2018-04-30,1.40332,1.43767,1.3711,1.37679
2018-05-31,1.37684,1.37728,1.3204,1.32989
2018-06-29,1.32992,1.34726,1.30489,1.32071
2018-07-31,1.32037,1.33628,1.2956,1.31159
2018-08-31,1.31163,1.31445,1.26606,1.2956
2018-09-28,1.2925,1.32986,1.2784,1.3026
2018-10-31,1.30313,1.32578,1.26938,1.27713
2018-11-30,1.27713,1.31746,1.2723,1.27512
2018-12-31,1.27361,1.28396,1.2476,1.275
2019-01-31,1.2739,1.32179,1.2437,1.31067
2019-02-28,1.3107,1.33503,1.2771,1.32616
2019-03-29,1.3263,1.3381,1.2959,1.3043
2019-04-30,1.30189,1.31962,1.2864,1.30324
2019-05-31,1.30324,1.31766,1.2558,1.26264
2019-06-28,1.26344,1.27838,1.2505,1.2696
2019-07-31,1.26989,1.27057,1.2117,1.21591
2019-08-30,1.21591,1.23099,1.2013,1.2159
2019-09-30,1.21594,1.25824,1.1957,1.22885
